gene_name number_of_transposon_per_gene number_of_read_per_gene
FCF1 0 0
YDR340W 5 34
YDR341C 0 0
HXT7 2 1
HXT6 2 1
YDR344C 7 359
HXT3 8 11
SVF1 7 140
MRP1 2 4
PAL1 12 209
YPS7 6 54
ATP22 5 19
SBE2 13 428
YPQ2 5 4
TRR1 1 0
TRP4 2 1
YDR354C-A 0 0
YDR355C 0 0
SPC110 4 3
CNL1 6 185
GGA1 8 79
EAF1 8 80
OPI7 0 0
BCP1 4 3
TFC6 4 3
ESC2 10 33
SEM1 0 0
CDC40 3 2
ESF1 2 1
YDR366C 5 7
KEI1 1 0
YPR1 3 3
XRS2 12 231
DXO1 9 85
CTS2 7 22
YDR371C-A 0 0
VPS74 3 5
FRQ1 1 0
PHO92 2 1
WIP1 1 0
BCS1 4 8
ARH1 5 13
ATP17 0 0
LSM6 0 0
RGA2 5 30
SDH6 1 0
ARO10 1 0
YRA1 2 2
YDR381C-A 0 0
RPP2B 0 0
NKP1 4 23
ATO3 9 29
EFT2 1 0
MUS81 4 4
YDR387C 4 6
RVS167 7 10
SAC7 2 1
UBA2 0 0
YDR391C 3 13
SPT3 0 0
SHE9 3 3
RPT3 1 0
SXM1 10 70
YDR396W 1 0
NCB2 2 2
UTP5 1 0
HPT1 0 0
URH1 10 229
YDR401W 7 57
DIT2 13 460
DIT1 12 340
RPB7 0 0
MRP20 10 36
PDR15 37 1601
YDR406W-A 1 0
TRS120 7 6
ADE8 4 7
SIZ1 3 2
STE14 6 49
DFM1 5 12
RRP17 0 0
YDR413C 0 0
ERD1 10 134
YDR415C 4 6
SYF1 5 4
YDR417C 0 0
RPL12B 0 0
RAD30 12 111
HKR1 10 34
ARO80 14 910
SIP1 9 130
CAD1 8 95
DYN2 1 0
SNX41 5 57
YDR426C 4 9
RPN9 0 0
BNA7 3 3
TIF35 1 0
CYM1 12 167
YDR431W 0 0
NPL3 0 0
YDR433W 0 0
GPI17 4 4
PPM1 5 38
PPZ2 11 654
GPI19 0 0
