gene_name number_of_transposon_per_gene number_of_read_per_gene
RAM1 2 2
NUR1 29 453
ASM4 11 214
LUC7 6 8
YDL086W 30 679
YDL086C-A 21 498
YDL085C-A 8 134
NDE2 18 411
SUB2 1 0
RPS16B 2 1
RPL13A 3 8
RPP1A 1 0
THI3 13 347
MRK1 26 636
MDH3 7 79
VAM6 5 5
RXT3 16 62
RPL31A 1 0
BRE1 1 0
YDL073W 68 2126
YET3 2 1
YDL071C 19 83
BDF2 16 159
CBS1 1 0
YDL068W 0 0
COX9 1 0
IDP1 32 1257
PEX19 10 84
UBC9 1 0
SYO1 11 300
YDL062W 3 4
RPS29B 2 9
TSR1 4 10
RAD59 13 131
USO1 28 852
YDL057W 29 475
MBP1 30 886
PSA1 3 5
MCH1 54 1570
PBP4 5 9
SLC1 27 780
LHP1 31 812
YDL050C 14 459
KNH1 40 1026
STP4 37 456
SIT4 6 16
NPC2 16 191
MRP10 2 1
FAD1 2 1
MTF2 5 8
PRP11 5 54
SIR2 49 1187
YDL041W 19 248
NAT1 27 657
PRM7 35 409
BSC1 15 324
PUS9 43 697
GPR1 39 1344
YDL034W 1 0
SLM3 21 78
YDL032W 11 42
DBP10 5 153
PRP9 9 155
ARP2 2 4
MPS1 9 42
YDL027C 40 1244
YDL026W 9 35
RTK1 26 242
YDL025W-A 1 0
DIA3 61 1995
YDL022C-A 21 286
YDL023C 15 307
GPD1 55 1790
GPM2 85 2801
RPN4 41 835
OSH2 73 1785
ERP3 30 994
CDC7 13 173
YDL016C 20 848
TSC13 0 0
NOP1 2 2
SLX5 26 234
YDL012C 61 1824
YDL011C 47 1674
GRX6 90 2171
YDL009C 38 296
APC11 18 561
YDL007C-A 21 841
RPT2 0 0
PTC1 4 187
MED2 103 2588
ATP16 1 0
MCD1 16 162
NHP10 45 743
RMD1 239 17549
NTH1 312 11854
YRB1 4 9
RCR2 125 4341
YDR003W-A 35 667
RAD57 76 1132
MAF1 34 999
SOK1 109 2805
TRP1 120 2833
YDR008C 95 3103
GAL3 155 6381
YDR010C 147 9669
SNQ2 281 9313
RPL4B 16 582
PSF1 0 0
RAD61 76 1087
HED1 19 198
YDR015C 7 78
DAD1 0 0
KCS1 92 2219
YDR018C 109 3677
GCV1 69 1878
DAS2 63 1936
FAL1 2 1
ATG31 15 294
SES1 6 66
FYV1 39 949
RPS11A 2 8
NSI1 68 1943
VPS54 4 3
REG1 41 869
YDR029W 9 36
RAD28 62 1815
MIX14 11 31
PST2 23 166
MRH1 25 488
LYS14 42 642
YDR034C-A 2 2
YDR034W-B 9 32
ARO3 3 2
EHD3 39 854
KRS1 6 8
ENA5 32 171
ENA2 15 16
ENA1 23 400
RSM10 3 4
YDR042C 5 6
NRG1 3 11
HEM13 0 0
RPC11 0 0
BAP3 31 721
HEM12 0 0
YDR048C 17 73
VMS1 11 50
TPI1 0 0
DET1 13 120
DBF4 0 0
YDR053W 0 0
CDC34 6 114
PST1 30 410
YDR056C 12 85
YOS9 27 305
TGL2 13 38
UBC5 10 256
MAK21 9 121
YDR061W 22 554
LCB2 1 0
AIM7 2 1
RPS13 2 1
RRG1 3 31
RTR2 9 54
OCA6 11 56
DOS2 11 51
DOA4 2 1
FMP16 3 2
PAA1 4 3
IPT1 48 1413
SNF11 6 103
TPS2 8 85
PPH3 12 164
RAD55 15 396
SED1 10 91
SHU2 7 17
PET100 2 2
TFB5 1 0
VPS41 5 10
PDC2 2 1
STN1 8 18
RRP8 14 146
TVP23 5 35
AFR1 8 94
SSS1 0 0
RRP1 0 0
SLU7 4 17
YDR089W 36 758
YDR090C 14 303
RLI1 0 0
UBC13 4 17
DNF2 100 3143
YDR094W 27 627
YDR095C 22 296
GIS1 20 326
MSH6 20 110
GRX3 12 177
BMH2 25 209
TVP15 7 72
ARX1 10 73
YDR102C 9 140
STE5 12 114
SPO71 21 291
TMS1 16 152
ARP10 13 190
TMN2 15 339
TRS85 5 42
YDR109C 13 196
FOB1 18 529
ALT2 20 141
IRC2 4 48
PDS1 1 0
YDR114C 9 127
YDR115W 0 0
MRPL1 5 12
TMA64 6 40
APC4 12 88
YDR118W-A 4 6
VBA4 20 147
COX26 2 5
TRM1 16 322
