gene_name number_of_transposon_per_gene number_of_read_per_gene
YDL144C 22 563
CCT4 0 0
CRD1 21 589
BPL1 5 29
RPO21 6 5
SCM3 0 0
RGT2 37 739
ARF2 5 9
RPL35B 2 2
RDI1 10 163
PPH21 16 294
RPL41B 0 0
SRF1 10 86
CDC53 6 7
LYS21 11 142
STF1 7 50
RPP1B 1 0
YDL129W 11 165
VCX1 20 182
PCL2 20 419
CDC48 11 34
HNT1 16 241
YDL124W 25 898
SNA4 9 173
UBP1 10 58
YDL121C 6 71
YFH1 0 0
YDL119C 11 326
YDL118W 6 106
CYK3 8 24
NUP84 5 7
IWR1 6 25
YDL114W-A 0 0
YDL114W 10 35
ATG20 17 312
TRM3 33 1007
RRP42 2 2
TMA17 4 15
YDL109C 26 624
KIN28 2 46
MSS2 8 76
PHO2 14 565
NSE4 0 0
QRI7 13 201
QRI1 2 2
POL3 6 68
DUN1 10 83
GET3 14 324
BUG1 4 12
SNU23 5 4
RPN6 1 0
OPI6 5 18
PMT1 15 388
YDL094C 18 215
PMT5 17 478
SRP14 9 62
UBX3 12 354
RAM1 4 8
NUR1 16 223
ASM4 9 60
LUC7 2 10
YDL086W 22 279
YDL086C-A 7 49
YDL085C-A 2 1
NDE2 23 1300
SUB2 0 0
RPS16B 0 0
RPL13A 4 14
RPP1A 1 0
THI3 17 454
MRK1 32 395
MDH3 9 116
VAM6 13 43
RXT3 28 324
RPL31A 0 0
BRE1 7 104
YDL073W 22 360
YET3 13 149
YDL071C 15 183
BDF2 8 79
CBS1 10 111
YDL068W 4 31
COX9 5 9
IDP1 30 560
PEX19 12 138
UBC9 2 1
SYO1 11 121
YDL062W 2 1
RPS29B 0 0
TSR1 9 10
RAD59 15 308
USO1 20 137
YDL057W 15 410
MBP1 26 773
PSA1 0 0
MCH1 52 1996
PBP4 6 19
SLC1 15 311
LHP1 17 190
YDL050C 13 116
KNH1 39 1085
STP4 38 672
SIT4 1 0
NPC2 9 89
MRP10 9 136
FAD1 1 0
MTF2 17 230
PRP11 2 1
SIR2 23 660
YDL041W 11 281
NAT1 18 269
PRM7 25 221
BSC1 5 117
PUS9 16 221
GPR1 43 790
YDL034W 7 67
SLM3 52 1083
YDL032W 10 165
DBP10 7 26
PRP9 3 6
ARP2 0 0
MPS1 24 400
YDL027C 16 173
YDL026W 7 50
RTK1 15 307
YDL025W-A 0 0
DIA3 30 702
YDL022C-A 14 146
YDL023C 14 65
GPD1 42 554
GPM2 50 1225
RPN4 21 505
OSH2 91 3409
ERP3 13 176
CDC7 7 297
YDL016C 3 6
TSC13 0 0
NOP1 2 1
SLX5 5 16
YDL012C 22 230
YDL011C 13 272
GRX6 19 396
YDL009C 12 169
APC11 5 56
YDL007C-A 12 182
RPT2 3 2
PTC1 18 163
MED2 26 275
ATP16 7 95
MCD1 8 19
NHP10 20 491
RMD1 86 4175
NTH1 120 4137
YRB1 0 0
RCR2 59 3074
YDR003W-A 13 168
RAD57 34 833
MAF1 28 622
SOK1 92 2555
TRP1 738 191209
YDR008C 277 30395
GAL3 80 2991
YDR010C 69 2115
SNQ2 148 4094
RPL4B 11 219
PSF1 0 0
RAD61 42 857
HED1 12 246
YDR015C 5 86
DAD1 0 0
KCS1 48 1075
YDR018C 50 1286
GCV1 41 1007
DAS2 47 1355
FAL1 2 1
ATG31 4 3
SES1 1 0
FYV1 26 635
RPS11A 0 0
NSI1 20 811
VPS54 26 362
REG1 30 568
YDR029W 12 51
RAD28 30 804
MIX14 8 25
PST2 13 75
MRH1 24 1322
LYS14 32 364
YDR034C-A 5 56
YDR034W-B 6 16
ARO3 15 381
EHD3 36 919
KRS1 3 5
ENA5 25 304
ENA2 9 16
ENA1 23 781
RSM10 7 45
YDR042C 3 2
NRG1 14 89
HEM13 3 2
RPC11 0 0
BAP3 27 330
HEM12 6 7
YDR048C 20 532
VMS1 14 255
TPI1 0 0
DET1 15 309
DBF4 2 2
YDR053W 2 1
CDC34 5 10
PST1 19 165
YDR056C 19 367
YOS9 18 448
TGL2 11 109
UBC5 7 36
MAK21 2 1
YDR061W 25 887
LCB2 2 1
AIM7 9 91
RPS13 0 0
RRG1 12 189
RTR2 11 236
OCA6 10 46
DOS2 7 31
DOA4 18 331
FMP16 4 5
PAA1 7 84
IPT1 32 947
SNF11 13 184
TPS2 34 864
PPH3 10 128
RAD55 22 743
SED1 9 68
SHU2 13 183
PET100 5 38
TFB5 2 1
VPS41 10 62
PDC2 2 1
STN1 9 85
RRP8 10 65
TVP23 5 45
AFR1 12 203
SSS1 0 0
RRP1 1 0
SLU7 3 9
YDR089W 36 1162
YDR090C 14 290
RLI1 0 0
UBC13 11 70
DNF2 88 3093
YDR094W 34 1695
YDR095C 28 695
GIS1 37 759
MSH6 23 426
GRX3 8 47
BMH2 20 345
TVP15 5 16
ARX1 6 38
YDR102C 21 698
STE5 23 1077
SPO71 19 598
TMS1 20 521
ARP10 10 536
TMN2 21 227
TRS85 17 389
YDR109C 12 272
FOB1 16 152
ALT2 23 533
IRC2 6 119
PDS1 4 8
YDR114C 12 60
YDR115W 1 0
MRPL1 4 16
TMA64 4 20
APC4 6 25
YDR118W-A 1 0
VBA4 27 517
COX26 8 79
TRM1 18 280
DPB4 0 0
KIN1 27 368
INO2 3 2
YDR124W 12 391
ECM18 12 232
SWF1 38 1169
ARO1 31 372
MTC5 27 314
SAC6 5 12
FIN1 10 249
YDR131C 17 157
YDR132C 15 205
YDR133C 0 0
YCF1 36 682
VPS61 22 719
RGP1 9 42
HPR1 9 25
RUB1 3 4
MTQ2 2 5
DOP1 7 6
PEX7 23 535
SAN1 15 90
MKC7 16 144
TAF12 3 4
SWI5 10 87
EKI1 11 49
KGD2 14 194
YDR149C 1 0
NUM1 37 482
CTH1 10 112
GIR2 9 45
ENT5 18 369
YDR154C 6 14
CPR1 5 13
RPA14 13 59
YDR157W 21 712
HOM2 15 212
SAC3 15 76
SSY1 0 0
YDR161W 0 0
NBP2 2 21
CWC15 8 78
SEC1 5 5
TRM82 9 93
SEC5 10 78
TAF10 1 0
CDC37 4 14
STB3 11 116
YDR169C-A 2 1
SEC7 9 55
HSP42 7 85
SUP35 0 0
ARG82 2 6
HMO1 4 11
RSM24 1 0
NGG1 12 31
UBC1 1 0
SDH4 10 94
CSN9 3 2
YDR179W-A 12 60
SCC2 7 9
SAS4 8 191
CDC1 2 1
YDR182W-A 1 0
PLP1 6 32
YDR183C-A 1 0
ATC1 2 5
UPS3 6 12
YDR186C 25 442
YDR187C 7 60
CCT6 1 0
SLY1 4 6
RVB1 1 0
HST4 6 34
NUP42 6 24
YDR193W 4 24
MSS116 4 37
YDR194W-A 1 0
REF2 5 6
CAB5 1 0
CBS2 11 123
RKM2 15 731
YDR199W 2 1
VPS64 7 29
SPC19 0 0
RAV2 2 16
YDR203W 1 0
COQ4 11 103
MSC2 9 166
EBS1 17 240
UME6 18 66
MSS4 6 46
YDR209C 4 21
YDR210W 3 19
GCD6 5 5
TCP1 0 0
UPC2 25 369
AHA1 16 415
YDR215C 30 716
ADR1 25 499
RAD9 20 561
SPR28 13 146
MFB1 2 7
YDR220C 2 1
GTB1 20 543
YDR222W 11 80
CRF1 8 156
HTB1 2 1
HTA1 1 0
ADK1 1 0
SIR4 19 125
PCF11 1 0
IVY1 18 345
YDR230W 11 315
COX20 12 324
HEM1 2 2
RTN1 6 169
LYS4 11 132
PRP42 1 0
FMN1 2 1
MRPL7 1 0
SEC26 3 3
YDR239C 14 134
SNU56 5 7
BUD26 10 386
AMD2 13 166
PRP28 5 4
PEX5 11 62
MNN10 11 188
TRS23 1 0
YDR246W-A 29 797
VHS1 13 147
YDR248C 11 185
YDR249C 17 365
YDR250C 29 1034
PAM1 13 167
BTT1 2 1
MET32 3 22
CHL4 9 149
RMD5 6 104
CTA1 25 910
RKM4 8 47
HSP78 23 266
YAP6 9 133
SWM1 17 274
EXG2 22 351
YDR262W 7 35
DIN7 7 310
AKR1 10 72
PEX10 8 40
HEL2 7 40
CIA1 3 2
MSW1 7 113
YDR269C 3 17
CCC2 31 991
YDR271C 6 60
GLO2 7 140
DON1 10 114
YDR274C 42 2001
BSC2 9 67
PMP3 1 0
MTH1 15 146
YDR278C 9 107
RNH202 11 108
RRP45 1 0
PHM6 2 2
YDR282C 8 186
GCN2 27 310
DPP1 11 167
ZIP1 20 368
YDR286C 7 51
INM2 4 27
NSE3 3 2
RTT103 1 0
YDR290W 11 65
HRQ1 24 539
SRP101 4 6
SSD1 23 462
DPL1 25 312
HDA2 7 65
MHR1 9 171
SUR2 9 37
ATP5 4 11
BFR2 3 2
PRO1 1 0
CFT1 3 2
GPI11 3 9
RSC3 1 0
CPR5 9 648
HNT2 5 13
YDR306C 13 313
PMT7 14 211
SRB7 3 4
GIC2 8 16
SUM1 14 69
TFB1 4 4
SSF2 7 81
PIB1 8 49
RAD34 13 194
IPK1 3 2
OMS1 16 262
HIM1 8 13
MCM21 5 16
YFT2 9 114
SWA2 9 46
DAD4 0 0
YDR320W-B 18 664
ASP1 10 77
MRPL35 4 6
TIM11 1 0
PEP7 10 72
UTP4 2 4
YCG1 6 17
YSP2 26 388
YDR327W 2 1
SKP1 1 0
PEX3 11 207
UBX5 13 135
GPI8 2 2
IRC3 9 212
RQC1 20 560
SWR1 26 418
MSN5 12 48
YDR336W 15 283
MRPS28 8 117
YDR338C 17 310
FCF1 0 0
YDR340W 9 278
YDR341C 1 0
HXT7 3 2
HXT6 4 3
YDR344C 15 356
HXT3 30 769
SVF1 17 456
MRP1 5 11
PAL1 11 206
YPS7 11 259
ATP22 9 67
SBE2 18 434
YPQ2 4 16
TRR1 0 0
TRP4 2 1
YDR354C-A 0 0
YDR355C 0 0
SPC110 1 0
CNL1 15 206
GGA1 24 551
EAF1 8 26
OPI7 1 0
BCP1 2 2
TFC6 10 29
ESC2 5 6
SEM1 4 15
CDC40 5 4
ESF1 1 0
YDR366C 7 12
KEI1 5 7
YPR1 8 39
XRS2 10 78
DXO1 8 99
CTS2 9 102
YDR371C-A 0 0
VPS74 8 53
FRQ1 1 0
PHO92 7 90
WIP1 1 0
BCS1 16 237
ARH1 4 5
ATP17 5 21
LSM6 0 0
RGA2 19 380
SDH6 2 9
ARO10 27 409
YRA1 1 0
YDR381C-A 4 6
RPP2B 0 0
NKP1 11 77
ATO3 15 848
EFT2 2 1
MUS81 4 3
YDR387C 21 403
RVS167 16 121
SAC7 5 57
UBA2 7 65
YDR391C 8 107
SPT3 5 34
SHE9 10 96
RPT3 2 1
SXM1 14 138
YDR396W 4 3
NCB2 4 3
UTP5 4 11
HPT1 1 0
URH1 19 219
YDR401W 9 98
DIT2 14 160
DIT1 23 328
RPB7 0 0
MRP20 28 530
PDR15 92 2857
YDR406W-A 3 2
TRS120 7 40
ADE8 6 45
SIZ1 17 126
STE14 12 71
DFM1 9 66
RRP17 2 9
YDR413C 2 9
ERD1 20 192
YDR415C 6 10
SYF1 8 89
YDR417C 1 0
RPL12B 2 1
RAD30 12 77
HKR1 22 486
ARO80 23 315
SIP1 21 349
CAD1 18 376
DYN2 11 175
SNX41 21 547
YDR426C 6 276
RPN9 2 1
BNA7 3 63
TIF35 2 1
