gene_name number_of_transposon_per_gene number_of_read_per_gene
TPI1 0 0
DET1 19 297
DBF4 1 0
YDR053W 0 0
CDC34 3 5
PST1 15 53
YDR056C 16 104
YOS9 23 75
TGL2 6 24
UBC5 5 132
MAK21 6 8
YDR061W 19 425
LCB2 0 0
AIM7 6 61
RPS13 0 0
RRG1 17 428
RTR2 14 235
OCA6 7 44
DOS2 6 69
DOA4 13 74
FMP16 4 17
PAA1 6 63
IPT1 29 447
SNF11 10 44
TPS2 32 293
PPH3 12 190
RAD55 5 30
SED1 8 18
SHU2 17 224
PET100 3 6
TFB5 0 0
VPS41 9 33
PDC2 3 2
STN1 5 10
RRP8 7 30
TVP23 1 0
AFR1 16 240
SSS1 1 0
RRP1 1 0
SLU7 4 4
YDR089W 29 809
YDR090C 13 167
RLI1 0 0
UBC13 3 2
DNF2 81 2119
YDR094W 34 926
YDR095C 21 175
GIS1 21 354
MSH6 26 526
GRX3 4 29
BMH2 41 518
TVP15 5 59
ARX1 8 32
YDR102C 12 303
STE5 11 109
SPO71 31 1010
TMS1 12 357
ARP10 13 222
TMN2 7 115
TRS85 20 313
YDR109C 15 197
FOB1 15 60
ALT2 14 405
IRC2 4 12
PDS1 2 1
YDR114C 5 7
YDR115W 0 0
MRPL1 6 105
TMA64 3 6
APC4 6 14
YDR118W-A 0 0
VBA4 24 526
COX26 6 17
TRM1 24 256
DPB4 1 0
KIN1 35 704
INO2 5 22
YDR124W 12 128
ECM18 7 53
SWF1 44 1378
ARO1 30 190
MTC5 33 979
SAC6 11 156
FIN1 9 134
YDR131C 6 65
YDR132C 21 416
YDR133C 4 18
YCF1 32 593
VPS61 13 203
RGP1 9 31
HPR1 6 11
RUB1 1 0
MTQ2 3 3
DOP1 11 59
PEX7 8 55
SAN1 13 297
MKC7 11 43
TAF12 4 4
SWI5 5 9
EKI1 9 77
KGD2 12 150
YDR149C 3 2
NUM1 39 853
CTH1 6 27
GIR2 4 33
ENT5 11 72
YDR154C 6 27
CPR1 9 285
RPA14 9 22
YDR157W 17 440
HOM2 14 121
SAC3 12 121
SSY1 0 0
YDR161W 1 0
NBP2 2 1
CWC15 6 89
SEC1 3 2
TRM82 8 29
SEC5 8 67
TAF10 1 0
CDC37 6 15
STB3 8 146
YDR169C-A 0 0
SEC7 10 37
HSP42 17 737
SUP35 1 0
ARG82 4 6
HMO1 6 74
RSM24 5 83
NGG1 5 14
UBC1 0 0
SDH4 1 0
CSN9 3 10
YDR179W-A 13 92
SCC2 5 4
SAS4 8 39
CDC1 4 3
YDR182W-A 3 66
PLP1 3 5
YDR183C-A 7 29
ATC1 0 0
UPS3 5 6
YDR186C 31 564
YDR187C 3 5
CCT6 4 4
SLY1 0 0
RVB1 0 0
HST4 7 55
NUP42 4 17
YDR193W 1 0
MSS116 7 111
YDR194W-A 1 0
REF2 8 27
CAB5 3 14
CBS2 7 10
RKM2 18 273
YDR199W 0 0
VPS64 9 12
SPC19 0 0
RAV2 9 65
YDR203W 2 3
COQ4 7 109
MSC2 13 111
EBS1 39 754
UME6 8 24
MSS4 13 267
YDR209C 3 3
YDR210W 0 0
GCD6 2 1
TCP1 2 1
UPC2 12 110
AHA1 37 824
YDR215C 18 132
ADR1 30 325
RAD9 26 829
SPR28 3 42
MFB1 4 3
YDR220C 8 268
GTB1 23 267
YDR222W 14 111
CRF1 8 188
HTB1 2 1
HTA1 3 2
ADK1 5 47
SIR4 23 329
PCF11 3 3
IVY1 17 268
YDR230W 10 188
COX20 12 103
HEM1 2 1
RTN1 7 30
LYS4 33 569
PRP42 0 0
FMN1 0 0
MRPL7 5 18
SEC26 3 3
YDR239C 17 345
SNU56 5 33
BUD26 11 272
AMD2 14 147
PRP28 2 2
PEX5 10 256
MNN10 7 149
TRS23 1 0
YDR246W-A 16 296
VHS1 21 1304
YDR248C 10 109
YDR249C 12 304
YDR250C 19 487
PAM1 18 292
BTT1 4 13
MET32 3 4
CHL4 13 117
RMD5 6 42
CTA1 13 292
RKM4 5 67
HSP78 56 2415
YAP6 9 51
SWM1 10 645
EXG2 11 114
YDR262W 4 28
DIN7 15 145
AKR1 17 170
PEX10 5 38
HEL2 11 33
CIA1 4 8
MSW1 10 234
YDR269C 0 0
CCC2 24 437
YDR271C 4 14
GLO2 9 200
DON1 4 5
YDR274C 40 832
BSC2 13 210
PMP3 4 90
MTH1 20 188
YDR278C 6 263
RNH202 7 113
RRP45 0 0
PHM6 3 4
YDR282C 6 10
GCN2 23 506
DPP1 5 26
ZIP1 13 114
YDR286C 2 1
INM2 8 35
NSE3 2 1
RTT103 3 3
YDR290W 3 5
HRQ1 32 595
SRP101 2 1
SSD1 31 382
DPL1 18 584
HDA2 12 128
MHR1 3 3
SUR2 15 116
ATP5 1 0
BFR2 2 1
PRO1 0 0
CFT1 0 0
GPI11 1 0
RSC3 2 1
CPR5 4 3
HNT2 5 29
YDR306C 8 39
PMT7 9 174
SRB7 0 0
GIC2 4 7
SUM1 16 209
TFB1 3 4
SSF2 20 837
PIB1 10 157
RAD34 6 6
IPK1 2 1
OMS1 14 179
HIM1 2 3
MCM21 1 0
YFT2 9 426
SWA2 9 51
DAD4 0 0
YDR320W-B 2 6
ASP1 9 143
MRPL35 7 50
TIM11 1 0
PEP7 9 38
UTP4 0 0
YCG1 4 4
YSP2 21 112
YDR327W 1 0
SKP1 1 0
PEX3 15 89
UBX5 11 66
GPI8 2 1
IRC3 22 736
RQC1 14 241
SWR1 19 172
MSN5 18 129
YDR336W 7 100
MRPS28 5 38
YDR338C 13 193
FCF1 0 0
YDR340W 5 27
YDR341C 4 3
HXT7 3 3
HXT6 6 9
YDR344C 13 321
HXT3 14 47
SVF1 19 221
MRP1 4 58
PAL1 27 1107
YPS7 12 192
ATP22 13 217
SBE2 16 168
YPQ2 7 17
TRR1 1 0
TRP4 5 6
YDR354C-A 0 0
YDR355C 0 0
SPC110 2 1
CNL1 9 26
GGA1 17 84
EAF1 15 405
OPI7 2 1
BCP1 6 6
TFC6 4 11
ESC2 8 14
SEM1 1 0
CDC40 4 6
ESF1 1 0
YDR366C 5 5
KEI1 0 0
YPR1 8 590
XRS2 14 289
DXO1 2 1
CTS2 9 32
YDR371C-A 0 0
VPS74 4 18
FRQ1 3 4
PHO92 4 4
WIP1 4 66
BCS1 8 129
ARH1 3 2
ATP17 1 0
LSM6 0 0
RGA2 19 179
SDH6 3 19
ARO10 21 577
YRA1 1 0
YDR381C-A 1 0
RPP2B 1 0
NKP1 5 18
ATO3 14 131
EFT2 1 0
MUS81 11 51
YDR387C 5 12
RVS167 19 441
SAC7 20 607
UBA2 7 62
YDR391C 3 9
SPT3 1 0
SHE9 9 80
RPT3 0 0
SXM1 16 231
YDR396W 3 6
NCB2 3 6
UTP5 3 8
HPT1 1 0
URH1 12 81
YDR401W 18 846
DIT2 22 889
DIT1 16 295
RPB7 0 0
MRP20 27 392
PDR15 72 2093
YDR406W-A 0 0
TRS120 7 25
ADE8 2 1
SIZ1 18 331
STE14 4 25
DFM1 10 210
RRP17 0 0
YDR413C 0 0
ERD1 9 29
YDR415C 5 21
SYF1 7 31
YDR417C 0 0
RPL12B 0 0
RAD30 23 664
HKR1 26 586
